;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;Decisions;;;;
ITA_constitutional_empire;Kingdom of Italy;;;;;;;;;;;;;
ITA_fascist_dictatorship;Italian Social Republic;;;;;;;;;;;;;
ITA_proletarian_dictatorship;Italian SR;;;;;;;;;;;;;
ITA_democracy;Italian Republic;;;;;;;;;;;;;
ITA_presidential_dictatorship;Italian Republic;;;;;;;;;;;;;
ITA_ADJ;Italian;Italian;Italian;;Italian;;;;;;;;;x;;;;
SAR;Sardinia;;;;;;;;;;;;;
SAR_ADJ;Sardinian;Sardinian;Sardinian;;Sardinian;;;;;;;;;x;;;;
SIC;Two Sicilies;;;;;;;;;;;;;
SIC_ADJ;Sicilian;Sicilian;Sicilian;;Sicilian;;;;;;;;;x;;;;
BRZ;Brazil;;;;;;;;;;;;;
BRZ_absolute_monarchy;Empire of Brazil;;;;;;;;;;;;;
BRZ_prussian_constitutionalism;Empire of Brazil;;;;;;;;;;;;;
BRZ_hms_government;Empire of Brazil;;;;;;;;;;;;;
BRZ_fascist_dictatorship;Brazilian State;;;;;;;;;;;;;
BRZ_proletarian_dictatorship;Brazilian SR;;;;;;;;;;;;;
BRZ_democracy;Republic of Brazil;;;;;;;;;;;;;
BRZ_presidential_dictatorship;Republic of Brazil;;;;;;;;;;;;;
ARG;Argentina;;;;;;;;;;;;;
ARG_absolute_monarchy;Kingdom of Argentina;;;;;;;;;;;;;
ARG_prussian_constitutionalism;Kingdom of Argentina;;;;;;;;;;;;;
ARG_hms_government;Kingdom of Argentina;;;;;;;;;;;;;
ARG_fascist_dictatorship;Argentine State;;;;;;;;;;;;;
ARG_proletarian_dictatorship;Argentine SR;;;;;;;;;;;;;
ARG_democracy;Argentine Republic;;;;;;;;;;;;;
ARG_presidential_dictatorship;Argentine Confederation;;;;;;;;;;;;;
MEX;Mexico;;;;;;;;;;;;;
MEX_absolute_monarchy;Mexican Empire;;;;;;;;;;;;;
MEX_prussian_constitutionalism;Mexican Empire;;;;;;;;;;;;;
MEX_hms_government;Mexican Empire;;;;;;;;;;;;;
MEX_fascist_dictatorship;Mexican State;;;;;;;;;;;;;
MEX_proletarian_dictatorship;Mexican SR;;;;;;;;;;;;;
MEX_democracy;Mexican Republic;;;;;;;;;;;;;
MEX_presidential_dictatorship;Mexican Republic;;;;;;;;;;;;;
MEX_ADJ;Mexican;Mexicain;Mexikanisch;;Mexicana;;;;;;;;;x;;;;
SWE;Sweden-Norway;;;;;;;;;;;;;
SWE_absolute_monarchy;Sweden-Norway;;;;;;;;;;;;;
SWE_prussian_constitutionalism;Sweden-Norway;;;;;;;;;;;;;
SWE_hms_government;Sweden-Norway;;;;;;;;;;;;;
SWE_fascist_dictatorship;Sweden-Norway;;;;;;;;;;;;;
SWE_proletarian_dictatorship;SNSFR;;;;;;;;;;;;;
SWE_democracy;Sweden-Norway;;;;;;;;;;;;;
SWE_presidential_dictatorship;Sweden-Norway;;;;;;;;;;;;;
SWE_ADJ;Swedish-Norwegian;Swedish-Norwegian;Swedish-Norwegian;;Swedish-Norwegian;;;;;;;;;x;;;;
GRE;Greece;;;;;;;;;;;;;
GRE_absolute_monarchy;Kingdom of Greece;;;;;;;;;;;;;
GRE_prussian_constitutionalism;Kingdom of Greece;;;;;;;;;;;;;
GRE_hms_government;Kingdom of Greece;;;;;;;;;;;;;
GRE_absolute_empire;Roman Empire;;;;;;;;;;;;;
GRE_semi_constitutional_empire;Roman Empire;;;;;;;;;;;;;
GRE_constitutional_empire;Roman Empire;;;;;;;;;;;;;
GRE_fascist_dictatorship;Hellenic State;;;;;;;;;;;;;
GRE_proletarian_dictatorship;Greek SR;;;;;;;;;;;;;
GRE_democracy;Hellenic Republic;;;;;;;;;;;;;
GRE_presidential_dictatorship;Hellenic Republic;;;;;;;;;;;;;
GRE_ADJ;Greek;Greek;Greek;;Greek;;;;;;;;;x;;;;
GRE_absolute_empire_ADJ;Roman;Roman;Roman;;Roman;;;;;;;;;x;;;;
GRE_semi_constitutional_empire_ADJ;Roman;Roman;Roman;;Roman;;;;;;;;;x;;;;
GRE_constitutional_empire_ADJ;Roman;Roman;Roman;;Roman;;;;;;;;;x;;;;
COM;Commonwealth;;;;;;;;;;;;;
COM_absolute_monarchy;Commonwealth of Nations;;;;;;;;;;;;;
COM_prussian_constitutionalism;Commonwealth of Nations;;;;;;;;;;;;;
COM_hms_government;Commonwealth of Nations;;;;;;;;;;;;;
COM_fascist_dictatorship;CANZcuck State;;;;;;;;;;;;;
COM_proletarian_dictatorship;People's Commonwealth;;;;;;;;;;;;;
COM_democracy;Federation of Nations;;;;;;;;;;;;;
COM_presidential_dictatorship;Commonwealth of Nations;;;;;;;;;;;;;
COM_ADJ;British;;;;;;;;;;;;;
#;;;;;;;;;;;;;;RGOs;;;;
opium;Copium;Copium;Copium;;Copium;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;States;;;;
ENG_2131;Falklands and South Georgia;Falklands and South Georgia;Falklands and South Georgia;;Falklands and South Georgia;;;;;;;;;x;
RUS_965;Odessa;;;;;;;;;;;;;x;
#;;;;;;;;;;;;;;Governments;;;;
absolute_empire;Absolute Monarchy;Absolute Monarchy;Absolute Monarchy;;Absolute Monarchy;;;;;;;;;x;;;;
semi_constitutional_empire;Semi-Constitutional Monarchy;Semi-Constitutional Monarchy;Semi-Constitutional Monarchy;;Semi-Constitutional Monarchy;;;;;;;;;x;;;;
constitutional_empire;Constitutional Monarchy;Constitutional Monarchy;Constitutional Monarchy;;Constitutional Monarchy;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;Pol Parties;;;;
FRA_reactionary;Légitimiste;;;;;;;;;;;;;
FRA_reactionary_2;Droite Nationaliste;;;;;;;;;;;;;
FRA_liberal;Républicain;;;;;;;;;;;;;
FRA_liberal_2;Union libérale;;;;;;;;;;;;;
FRA_liberal_3;Républicain Libéral;;;;;;;;;;;;;
FRA_conservative;Orléaniste;;;;;;;;;;;;;
FRA_conservative_2;Bonapartiste;;;;;;;;;;;;;
FRA_conservative_3;Républicain modéré;;;;;;;;;;;;;
FRA_conservative_4;Orléaniste;;;;;;;;;;;;;
FRA_conservative_5;Royaliste;;;;;;;;;;;;;
FRA_socialist;Républicain démocratique;;;;;;;;;;;;;
FRA_socialist_2;Possibilistes;;;;;;;;;;;;;
FRA_socialist_3;SFIO;;;;;;;;;;;;;
FRA_communist;Parti Ouvrier Français;;;;;;;;;;;;;
FRA_fascist;Parti Franciste;;;;;;;;;;;;;
#;;;;;;;;;;;;;;CBs;;;;
take_capital_tiny;Take Tiny Capital;;;;;;;;;;;;;
take_capital_tiny_desc;Take the Tiny Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
take_capital_tiny_setup;Take Tiny Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
take_capital_tiny_short;Takes Tiny Capital from $RECIPIENT$;;;;;;;;;;;;;
take_capital_small;Take Small Capital;;;;;;;;;;;;;
take_capital_small_desc;Take the Small Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
take_capital_small_setup;Take Small Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
take_capital_small_short;Takes Small Capital from $RECIPIENT$;;;;;;;;;;;;;
take_capital_medium;Take Medium Capital;;;;;;;;;;;;;
take_capital_medium_desc;Take the Medium Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
take_capital_medium_setup;Take Medium Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
take_capital_medium_short;Takes Medium Capital from $RECIPIENT$;;;;;;;;;;;;;
take_capital_large;Take Large Capital;;;;;;;;;;;;;
take_capital_large_desc;Take the Large Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
take_capital_large_setup;Take Large Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
take_capital_large_short;Takes Large Capital from $RECIPIENT$;;;;;;;;;;;;;
take_capital_huge;Take Huge Capital;;;;;;;;;;;;;
take_capital_huge_desc;Take the Huge Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
take_capital_huge_setup;Take Huge Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
take_capital_huge_short;Takes Huge Capital from $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_tiny;Take Tiny Capital Concession;;;;;;;;;;;;;
demand_capital_concession_tiny_desc;Take the Tiny Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
demand_capital_concession_tiny_setup;Take Tiny Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_tiny_short;Takes Tiny Capital Concession from $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_small;Take Small Capital Concession;;;;;;;;;;;;;
demand_capital_concession_small_desc;Take the Small Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
demand_capital_concession_small_setup;Take Small Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_small_short;Takes Small Capital Concession from $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_medium;Take Medium Capital Concession;;;;;;;;;;;;;
demand_capital_concession_medium_desc;Take the Medium Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
demand_capital_concession_medium_setup;Take Medium Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_medium_short;Takes Medium Capital from $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_large;Take Large Capital Concession;;;;;;;;;;;;;
demand_capital_concession_large_desc;Take the Large Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
demand_capital_concession_large_setup;Take Large Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_large_short;Takes Large Capital Concession from $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_huge;Take Huge Capital Concession;;;;;;;;;;;;;
demand_capital_concession_huge_desc;Take the Huge Capital region of a §Ycountry§W and force them to move their capital elsewhere;;;;;;;;;;;;;
demand_capital_concession_huge_setup;Take Huge Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;
demand_capital_concession_huge_short;Takes Huge Capital Concession from $RECIPIENT$;;;;;;;;;;;;;
